codigo;descricao;mes_01;mes_02;mes_03;mes_04;mes_05;mes_06;mes_07;mes_08;mes_09;mes_10;mes_11;mes_12;mes_13;mes_14;mes_15;mes_16;mes_17;mes_18;mes_19;mes_20;mes_21;mes_22;mes_23;mes_24;total_pdf;percentual_pdf
1.0;Serviços de escritório, laboratório e campo;177545.02;5417.60;1204.95;1204.95;1204.95;1204.95;1204.95;0;0;0;0;0;0;0;0;0;0;0;0;113.37;113.37;113.37;113.37;0;189440.85;1.318
2.0;Canteiro de obras;74363.98;3490.74;3490.74;3490.74;3490.74;3490.74;3490.74;3490.74;3490.74;3490.74;3490.74;3490.74;3490.74;3490.74;3490.74;3490.74;3490.74;3490.74;3490.74;3490.74;3490.74;3490.74;3490.74;3490.74;154650.91;1.076
3.0;Movimento de terra;5722.81;5722.81;5722.81;0;2078.28;2078.28;17004.34;2078.28;2078.28;2078.28;2078.28;2078.28;2078.28;2078.28;0;0;0;0;0;0;0;0;0;0;52877.31;0.368
4.0;Transportes;15433.26;15433.26;15433.26;15433.26;15433.26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;665.88;0;0;0;0;77832.17;0.542
5.0;Serviços complementares;29215.81;6896.62;7659.60;11514.57;19927.53;70254.97;29831.93;63340.55;61228.60;69819.54;61228.60;82288.27;61228.60;61228.60;61228.60;27719.98;25561.75;25561.75;25561.75;25561.75;6331.10;6331.10;4784.67;4784.67;849090.92;5.909
6.0;Bases e pavimentos;0;0;33786.49;33786.49;0;0;4695.79;4695.79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76964.56;0.536
7.0;Parques e jardins;0;0;0;0;0;0;51546.27;51546.27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;103092.54;0.718
8.0;Fundações;0;139443.97;106051.15;106051.15;33970.01;33970.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;419486.30;2.919
9.0;Estruturas;0;0;66372.79;66372.79;134103.43;134103.43;70580.06;1397.60;1397.60;1397.60;1397.60;1397.60;1397.60;1397.60;1397.60;1397.60;1397.60;0;0;0;0;0;0;0;485508.55;3.379
10.0;Alvenarias e divisórias;0;0;0;15337.57;15759.20;15759.20;15759.20;18910.30;18910.30;24888.48;15759.20;32560.48;15759.20;15759.20;15759.20;15759.20;15759.20;15759.20;421.63;0;0;0;0;0;268620.83;1.869
11.0;Revestimentos;0;0;0;0;21331.41;194158.25;213597.93;215254.82;195140.58;235915.74;187694.85;170169.54;166010.26;166010.26;146919.69;146919.69;146919.69;146919.69;146919.69;125588.28;2929.38;2929.38;2929.38;0;2634258.54;18.333
12.0;Esquadrias;0;0;0;0;0;87769.61;68147.56;68147.56;68147.56;90207.32;90207.32;68147.56;68147.56;68147.56;79545.95;68147.56;68147.56;68147.56;68147.56;68147.56;0;0;0;0;1097353.43;7.637
13.1;Instalações hidrossanitárias - água potável;0;0;0;0;0;11533.47;11533.47;11533.47;11533.47;11533.47;11533.47;11533.47;11533.47;11533.47;11533.47;11533.47;11533.47;11533.47;11533.47;11533.47;11533.47;0;0;0;184535.49;1.284
13.2;Instalações hidrossanitárias - esgoto sanitário;0;0;0;0;0;16334.28;16334.28;16334.28;16334.28;16334.28;16334.28;16334.28;16334.28;16334.28;16334.28;16334.28;16334.28;16334.28;16334.28;16334.28;16334.28;0;0;0;261348.48;1.819
13.3;Instalações hidrossanitárias - assentamento de louças e metais;0;0;0;0;0;0;0;0;1380.63;1380.63;1380.63;1380.63;1380.63;1380.63;1380.63;1380.63;1380.63;1380.63;1380.63;1380.63;1380.63;1380.63;1380.63;1380.63;22090.04;0.154
13.4;Instalações elétricas;0;0;0;0;0;109358.05;109358.05;109358.05;109358.05;109358.05;109358.05;109358.05;109358.05;109358.05;109358.05;109358.05;109358.05;109358.05;109358.05;109358.05;109358.05;0;0;0;1749728.78;12.177
13.5;Instalações contra incêndio e pânico;0;0;0;0;0;8822.79;8822.79;8822.79;8822.79;8822.79;8822.79;8822.79;8822.79;8822.79;8822.79;8822.79;8822.79;8822.79;8822.79;8822.79;8822.79;0;0;0;141164.66;0.982
13.6;Instalações de gases medicinais;0;0;0;0;0;23379.30;23379.30;23379.30;23379.30;23379.30;23379.30;23379.30;23379.30;23379.30;23379.30;23379.30;23379.30;23379.30;23379.30;23379.30;23379.30;0;0;0;374068.72;2.603
13.7;Climatização;0;0;0;0;0;0;0;0;105528.94;105528.94;105528.94;105528.94;105528.94;105528.94;105528.94;105528.94;105528.94;105528.94;105528.94;105528.94;105528.94;105528.94;105528.94;105528.94;1688462.98;11.751
14.0;Coberturas e impermeabilizações;0;0;0;0;0;138566.23;138566.23;6824.47;6824.47;6824.47;6824.47;19325.69;73925.13;61423.92;24786.06;6824.47;6824.47;6824.47;0;0;0;0;0;0;504364.55;3.510
15.0;Pinturas;0;0;0;0;0;0;1362.06;0;51093.46;48595.06;48595.06;48595.06;48595.06;48595.06;48595.06;48595.06;48595.06;48595.06;48595.06;48595.06;48595.06;48595.06;48595.06;48595.06;781381.48;5.438
16.0;Aparelhos;0;0;0;0;0;0;0;25297.34;25297.34;25297.34;25297.34;25297.34;25297.34;25297.34;25297.34;25297.34;25297.34;25297.34;25297.34;25297.34;25297.34;25297.34;25297.34;25297.34;430054.72;2.993
17.0;Bancadas de aço inox;0;0;0;0;0;0;0;18997.38;18997.38;18997.38;18997.38;18997.38;18997.38;18997.38;18997.38;18997.38;18997.38;18997.38;18997.38;18997.38;18997.38;18997.38;0;0;284960.64;1.983
18.0;Bancadas em granito;0;0;0;0;0;0;0;3898.76;3898.76;3898.76;3898.76;3898.76;3898.76;3898.76;3898.76;3898.76;3898.76;3898.76;3898.76;3898.76;3898.76;3898.76;0;0;58481.44;0.407
19.0;Diversos;0;0;0;0;0;0;0;0;0;54815.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54815.88;0.382
20.0;Administração local;35128.20;35128.20;35128.20;35128.20;35128.20;35128.20;35128.20;35128.20;35128.20;35128.20;35128.20;35128.20;35128.20;35128.20;35128.20;35128.20;35128.20;35128.20;35128.20;35128.20;35128.20;35128.20;35128.20;35128.20;843076.73;5.867
21.0;Encargos complementares;24227.37;24227.37;24227.37;24227.37;24227.37;24227.37;24227.37;24227.37;24227.37;24227.37;24227.37;24227.37;24227.37;24227.37;24227.37;24227.37;24227.37;24227.37;24227.37;24227.37;24227.37;24227.37;24227.37;24227.37;581456.81;4.047
